host,target
1222040,1221955
3566570,649513
1908293,1908366
375526,590191
727867,727869
3055648,3055138
3718598,3718603
3719020,3718596
3564076,3564079
1392086,2833712
726657,726658
1222481,1222597
728231,728229
3051394,3044913
1221955,1221844
679297,679296
1222589,1856772
728324,728563
3051374,3044845
680876,680877
1021023,1021024
3325639,3325638
820051,820136
820351,820350
3051382,3052478
3324604,3324603
3165577,688324
1222171,1222172
819977,826226
726676,726671
819977,989276
684827,684028
1222483,820420
3494493,3494484
684806,684019
680445,988589
3055120,3055630
728578,728579
679300,680088
725273,725274
1222076,1222182
826083,818441
868410,868422
685600,684811
725295,726671
1222572,1222485
1223265,1223271
3052469,3051393
820574,886211
1221947,1222054
3817583,3817636
782226,782296
3055157,3055158
921384,921402
680082,679298
1223273,686285
850270,854901
1222165,1222164
679292,696234
684026,820491
1218978,649511
1255166,726904
728484,728486
820495,826240
1248728,989301
3055076,3055077
3056497,3056450
727506,727750
857195,814903
1222594,1222484
2833718,2527581
3588470,3588469
3733602,3829392
3590171,864711
1907751,726652
1511295,1222358
819980,820053
727133,727132
1512320,726916
920972,920957
727868,727628
820445,820371
682450,820343
984798,984787
1392087,2833718
3687956,3586971
2303605,2421247
1021045,2526196
3162881,683235
1222053,2604883
680086,820047
3055597,3055087
726790,727050
1222851,1222745
820126,820128
1222067,1221951
1315817,1223347
820201,820275
1221947,726816
3220579,725290
1222466,1222379
1392132,1392131
1218982,649510
3051393,3052454
1907982,727608
3044833,3044830
820518,820445
341130,679289
682445,920833
3052467,3052538
988602,988601
1021019,698318
1296254,682456
3220585,726806
727291,727293
1222805,1222695
727055,726816
727605,727606
3162889,684804
2472229,3002582
2606601,2606986
682450,820277
1222269,1222277
820201,820278
1422045,1222165
1222690,1222808
332810,341130
726809,726806
682454,683242
681664,681655
3324427,820507
679298,680086
1296258,2594508
988606,988612
728001,727765
3052539,3052538
3493900,782225
684024,683597
649872,989273
1221366,649515
726653,726664
818453,989272
1775473,1511305
726667,725294
3564070,3564067
727847,727609
2518403,686257
868430,873025
728223,728222
3493900,872458
727530,727527
1650311,1650049
3052538,3051386
1222272,2389661
2258714,2258715
3052467,3051382
726799,726802
3057136,3056449
727765,727762
2736945,704566
728341,728338
728344,728349
728579,984812
332812,3162137
3165843,688312
1908135,1908062
2618256,688319
2608391,681652
921385,921382
3055075,3055584
681657,681658
1908136,1908125
819977,989272
1248728,820639
727510,727505
3044829,3044827
3052468,3052463
1650311,1161143
3586403,3686286
375526,375527
1221955,3051375
388104,388384
3055076,3055587
3494485,3493932
1222639,820495
920747,920732
1222533,1222572
728723,728484
3719042,3719067
820426,820501
2608381,2617214
820199,820273
680871,680865
727527,727526
3623078,826234
989304,989300
3056449,3056514
1222594,2607010
1422641,649512
1222374,1222268
820192,989275
1222888,1222889
3323697,3323696
1221845,1221846
1222384,1222383
682770,682545
1218983,1221844
1222159,1222060
2833707,2833706
700956,728463
3719577,3719575
680878,680090
1512336,727871
820423,820349
720419,701848
728488,728250
3494496,921406
1248718,1248720
1392086,1507979
1422045,1222979
1422045,1856664
3056535,3055629
3586975,3719041
886211,820201
3055588,3056458
1221860,2606990
920807,920822
1222374,2737093
1218976,1221844
3052472,3051374
3052908,3052912
728010,728005
3055666,3055158
1222060,1222167
1222698,3055580
3055581,3055069
727136,727133
820054,819980
3493901,3493908
727052,727050
3564070,696243
984808,984809
1221959,1221840
820358,820421
1221958,1221954
3166001,720199
2594153,2594500
820350,820425
1908136,728083
727291,727527
727506,700639
728332,728335
727034,727036
850704,890055
3052473,3051392
3055586,3055093
1221843,1221957
820050,820124
725273,725276
3220609,728001
728347,728108
1511287,726816
1553911,868410
1218985,890250
1115344,1115419
1222593,1222487
3051382,3051387
726662,726663
820496,820498
3207133,727383
3052917,3052912
2833699,2833714
3564061,696237
727037,727040
1221953,2736962
388388,388390
727145,984754
1222584,1222478
1223347,1223570
680880,680887
3719025,3719048
3044841,806743
3719043,3719030
1222379,1222360
1221841,3566574
3056449,3056450
649511,649512
1165292,864702
3044844,3044877
3719053,3719030
2389667,2604913
818466,988933
375526,590177
1223270,708941
727129,726890
3324612,728094
984812,984813
3044835,3044836
388374,921406
1222485,1222484
3586965,3687830
726666,725277
820279,820198
3052946,3052950
1909226,728464
1035226,727865
886211,864705
3586403,818442
1222270,1222376
705555,886211
820501,820500
820504,820577
728249,728250
728104,728344
2038230,2038225
3057072,3057090
820204,820205
649514,649515
509964,921385
2518405,730131
1908202,1908212
818445,819980
1223275,2610561
2839255,2839232
3056470,3056450
820424,820498
3325758,3325757
728083,728084
1221839,1221950
3733602,3733612
1549212,590175
1222109,1222149
921391,921390
1222691,1222692
3493907,3493934
820272,820278
820210,820209
3055603,3055076
1222427,1222533
3719048,3719071
700639,727507
682440,682441
727050,727289
1057499,921407
2617212,2608376
1511285,984741
1392073,1392078
3323715,3323716
2594508,2472364
1222533,1222591
987422,988587
1222268,1222375
3051386,3051394
728462,728701
3037922,686284
1222745,1222805
820063,820001
814925,814916
1907600,1021022
1222055,1221949
728328,728323
3052900,682770
727374,727392
1315818,1223276
3055082,3055119
1222690,3161966
3718597,3718596
1256996,865849
727507,727767
819984,826083
820519,820581
727145,727384
726789,727029
820284,820210
820275,820281
1154152,1554351
2833718,726571
1511311,1222592
3494501,3494484
820118,820051
1221952,1222058
1222268,1222383
726793,726794
1222584,1222689
726794,726793
727845,727844
727608,727605
1221954,1222064
726809,727048
1222591,1222533
682454,682444
727863,727853
1248714,989277
1222807,1222808
1909303,1909288
3324509,3324510
984722,984721
704566,718488
1021132,984723
341301,3044833
984753,984763
682447,681653
1221952,1222059
1222593,1222699
1511295,727287
3220601,727762
3562388,680080
727375,727376
1222690,1222795
815002,815001
2608391,681659
686261,686274
341130,679295
2607014,2607010
1392084,1392129
3055599,3055600
818454,819989
3052501,3052505
3057096,3057079
683232,684019
3567684,3567261
